link,title,location,price,area,category,direction,floor_num,toilet_num,street,livingroom_num,bedroom_num,liability
https://nhadat.cafeland.vn/ban-nha-hem-xe-hoi-4-cho-tan-phu-ngay-dh-cong-nghe-49m2-dep-chi-455-ty-2268127.html,"Bán Nhà Hẻm Xe Hơi 4 Chỗ Tân Phú ngay ĐH Công Nghệ, 49m2 đẹp chỉ 4.55 tỷ .","Lê Trọng Tấn, Sơn Kỳ, Quận Tân Phú, TP. Hồ Chí Minh Lưu tin","~92,8 triệu /m2",49m2,Bán nhà riêng,,2 tầng,2,4m,1,2 phòng,Sổ hồng
https://nhadat.cafeland.vn/ban-lo-dat-95m2-dic-victory-city-tpvi-thanh-hau-giang-so-hong-tung-lo-2267989.html,,,,,,,,,,,,
https://nhadat.cafeland.vn/can-ho-nguyen-binh-khiem-58m2gia-1-ty-550-trieu-so-hong-lau-dai-o9o-663-87-28-ly-2186982.html,Căn hộ Nguyễn Bỉnh Khiêm 58m2giá 1 tỷ 550 triệu_sổ hồng lâu dài O9O-663-87-28 Ly (Tin Hết Hạn),"Nguyễn Bỉnh Khiêm, Phường 1, Quận Gò Vấp, TP. Hồ Chí Minh Lưu tin","~26,7 triệu /m2",58m2,Bán căn hộ chung cư,,34 tầng,2,,1,2 phòng,Sổ hồng
https://nhadat.cafeland.vn/can-ho-da-hoan-thien-16-ty-55m2-2pn-2wc-pk-bepvao-o-ngayo9o-663-87-28-2210078.html,"Căn hộ đã hoàn thiện 1,6 tỷ / 55m2 (2PN, 2WC, PK, bếp),vào ở ngay.O9O-663-87-28 (Tin Hết Hạn)","Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, TP. Hồ Chí Minh Lưu tin","~29,9 triệu /m2",55m2,Bán căn hộ chung cư,,32 tầng,2,,1,2 phòng,Sổ hồng
https://nhadat.cafeland.vn/biudung-7-tang-co-ham-ngay-pham-van-bach-go-vap-ngan-be-the-8m-nhinh-29-ty-2267923.html,BIUDUNG 7 TẦNG CÓ HẦM NGAY PHẠM VĂN BẠCH GÒ VẤP NGAN BỀ THẾ 8M NHỈNH 29 TỶ,"Phạm Văn Bạch, Phường 12, Quận Gò Vấp, TP. Hồ Chí Minh Lưu tin",~181 triệu/m2,160m2,Bán nhà riêng,,,,,,,
https://nhadat.cafeland.vn/sun-ubran-city-ha-nam-mo-ban-dau-thang-32025-2267871.html,Sun UBRAN CITY HÀ NAM. MỞ BÁN ĐẦU THÁNG 3/2025.,"Lam Hạ, Phủ Lý, Hà Nam Lưu tin","~86,6 triệu /m2",60m2,Bán nhà phố dự án,,,,,,,
https://nhadat.cafeland.vn/bt-vuon-dao-203m-4t-mt15m-125-ty-an-ninh-tuyet-doi-2267321.html,"BT VƯỜN ĐÀO - 203M, 4T, MT:15m - 125 tỷ - AN NINH TUYỆT ĐỐI","218 LẠC LONG QUÂN TÂY HỒ, Phú Thượng, Tây Hồ, Hà Nội Lưu tin",~615 triệu/m2,203m2,Bán biệt thự,,,,,,,
https://nhadat.cafeland.vn/ban-gap-15x75-ngay-cho-truong-hoc-tien-doanh-2262684.html,"bán gấp 15x75 ngay chợ, trường học tiện doanh","ĐT 838, Mỹ Quý Tây, Đức Huệ, Long An Lưu tin","~1,6 triệu /m2",1125m2,Bán đất thổ cư,Đông,,,8m,,,
https://nhadat.cafeland.vn/ban-lo-dat-14-x-205m-villa-2-mat-tien-duong-chinh-32m-va-21m-khu-an-vien-tp-nha-2266096.html,"Bán lô đất 14 x 20,5M Villa 2 mất tiền đường chính 32m và 21m khu An Viên TP Nhà","Lô 424 LK-U-C, Trần Phú, Vĩnh Trường, Nha Trang, Khánh Hòa Lưu tin",~436 nghìn/m2,275m2,Bán đất thổ cư,Đông Bắc,,,30m - 50m,,,Giấy đỏ
https://nhadat.cafeland.vn/nha-go-vap-gia-re-tran-binh-trong-can-goc-3-tang-btct-2259340.html,Nhà Gò Vấp giá rẻ Trần Bình Trọng căn góc 3 tầng BTCT,"Trần Bình Trọng, Phường 1, Quận Gò Vấp, TP. Hồ Chí Minh Lưu tin",~88 triệu /m2,50m2,Bán nhà riêng,,3 tầng,3,4m,1,4 phòng,Sổ hồng
https://nhadat.cafeland.vn/chi-28-ty-so-huu-ngay-biet-thu-park-villa-eco-retreat-kem-qua-tang-150-trd-2268459.html,"Chỉ 2,8 tỷ sở hữu ngay Biệt thự Park Villa Eco Retreat kèm quà tặng 150 trđ","Thanh Phú, Bến Lức, Long An Lưu tin","~45,4 triệu /m2",242m2,Bán nhà riêng,,,,,,,
https://nhadat.cafeland.vn/quy-can-vip-can-ho-sun-view-song-han-view-phao-hoa-da-nang-ck21-2264305.html,"QUỸ CĂN ""VIP"" CĂN HỘ SUN VIEW SÔNG HÀN - VIEW PHÁO HOA ĐÀ NẴNG - CK21%","Trần Hưng Đạo, Nại Hiên Đông, Sơn Trà, TP. Đà Nẵng Lưu tin",~550 nghìn/m2,100m2,Bán căn hộ chung cư,,,,,,,
https://nhadat.cafeland.vn/ban-1200m2-dat-2-mat-tien-190tr-lh-0932882968-dan-dong-gan-tinh-lo-2268461.html,"BÁN 1.200M2 ĐẤT 2 MẶT TIỀN 190TR LH 0932882968, DÂN ĐÔNG GẦN TỈNH LỘ","Minh Lập, Chơn Thành, Bình Phước Lưu tin",~158 nghìn/m2,1200m2,Bán đất thổ cư,,,,,,,
