price_per_m2,area (m2),category,direction,floor_num,toilet_num,livingroom_num,bedroom_num,liability,district,city_province,street (m)
990000.0,100.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Sơn Trà,TP. Đà Nẵng,-1.0
6.45E7,93.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Sơn Trà,TP. Đà Nẵng,-1.0
4.22E8,158.0,Bán biệt thự,Không xác định,5,5,4,5,Sổ hồng,Đống Đa,Hà Nội,10.0
3.49E7,116.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Hạ Long,Quảng Ninh,-1.0
3.77E8,235.64,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
1.16E8,198.0,Bán biệt thự,Không xác định,-1,3,1,4,Sổ hồng,Quận 7,TP. Hồ Chí Minh,-1.0
1.666E9,78.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
9.33E8,60.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Sổ hồng,Quận 1,TP. Hồ Chí Minh,-1.0
4.16E8,300.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
3.17E8,126.0,Bán biệt thự,Không xác định,-1,-1,-1,-1,Không xác định,Quận 7,TP. Hồ Chí Minh,-1.0
2.2E8,126.0,Bán biệt thự,Không xác định,-1,-1,-1,-1,Không xác định,Quận 7,TP. Hồ Chí Minh,-1.0
3.4E8,72.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
4.83E8,227.5,Bán nhà hàng - Khách sạn,Không xác định,-1,-1,-1,-1,Không xác định,Bình Thạnh,TP. Hồ Chí Minh,-1.0
1.24E9,88.7,Bán nhà hàng - Khách sạn,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
4.95E8,450.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Phú Nhuận,TP. Hồ Chí Minh,-1.0
5.8E8,198.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
3.16600013E9,30.0,Bán nhà hàng - Khách sạn,Không xác định,-1,-1,-1,-1,Không xác định,Quận Tân Phú,TP. Hồ Chí Minh,-1.0
1.7E7,130.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Sổ hồng,Quận 1,TP. Hồ Chí Minh,-1.0
3.06E8,147.0,Bán nhà hàng - Khách sạn,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
8.49E8,153.0,Bán nhà hàng - Khách sạn,Không xác định,-1,-1,-1,-1,Sổ hồng,Quận 1,TP. Hồ Chí Minh,-1.0
1.23E8,567.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Quận 2,TP. Hồ Chí Minh,-1.0
3.17E8,362.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
4.55E8,186.7,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
1.17E8,113.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
5.52E8,995.0,Bán nhà hàng - Khách sạn,Không xác định,-1,-1,-1,-1,Không xác định,Quận 3,TP. Hồ Chí Minh,-1.0
